,Name,Political Party,Twitter Handle
344,Mxolisa Simon Sokatsha,African National Congress (ANC),
345,Mr Sakhumzi Stoffels Somyo,African National Congress (ANC),
346,Ms Nokulunga Primrose Sonti,Economic Freedom Fighters (EFF),
347,Ms Maggie Sotyu,African National Congress (ANC),@Maggie_Sotyu
348,Eleanore Rochelle Jacquelene Spies,Democratic Alliance (DA),
349,Mr John Henry Steenhuisen,Democratic Alliance (DA),@jsteenhuisen
350,Ms Annette Steyn,Democratic Alliance (DA),@AnnetteSteyn1
351,Mr Dikgang Mathews Stock,African National Congress (ANC),@StockDikgang
352,Marie Elizabeth Sukers,African Christian Democratic Party (ACDP),
353,Mr Steve Swart,African Christian Democratic Party (ACDP),
354,Bernice Swarts,African National Congress (ANC),
355,Ms Nomsa Innocencia Tarabella Marchesi,Democratic Alliance (DA),@NomsaMarchesi
356,Parks Tau,African National Congress (ANC),
357,Ockert Stefanus Terblanche,Democratic Alliance (DA),
358,Dr Sophie Suzan Thembekwayo,Economic Freedom Fighters (EFF),
359,Mr Wayne Maxim Thring,African Christian Democratic Party (ACDP),@WayneThring
360,Lorato Florence Tito,Economic Freedom Fighters (EFF),
361,Keitumetse Bridgette Tlhomelang,African National Congress (ANC),
362,Maggie Tlou,African National Congress (ANC),
363,Nokuzola Gladys Tolashe,African National Congress (ANC),
364,Mrs Tshoganetso Mpho Adolphina Tongwane,African National Congress (ANC),
365,Ms Grace Kekulu Tseke,African National Congress (ANC),
366,Alfred Tseki,African National Congress (ANC),
367,Mr Solomon Lechesa Tsenoli,African National Congress (ANC),
368,Ms Judith Tshabalala,African National Congress (ANC),
369,Mgcini Tshwaku,Economic Freedom Fighters (EFF),
370,Busisiwe Tshwete,African National Congress (ANC),
371,Ms Pam Tshwete,African National Congress (ANC),
372,Ms Phumzile Thelma Van Damme,Democratic Alliance (DA),@zilevandamme
373,Liezl Linda van der Merwe,Inkatha Freedom Party (IFP),@Liezl_vdMerwe
374,Ms Désirée Van Der Walt,Democratic Alliance (DA),@DALimpopo
375,Ms Veronica Van Dyk,Democratic Alliance (DA),@VVandyk1
376,Benedicta Maria Van Minnen,Democratic Alliance (DA),@benvmmweb.co.za
377,Ms Sharome Renay Van Schalkwyk,African National Congress (ANC),
378,Philippus Van Staden,"Freedom Front + (Vryheidsfront Plus, FF+)",
379,Mr Thomas Charles Ravenscroft Walters,Democratic Alliance (DA),
