name,political_party,twitter_account,wiki_data,last_updated
Mr Samson Gwede Mantashe,ANC,GwedeMantashe1,https://www.wikidata.org/wiki/Q64399472,
Mr Emmanuel Ramaotoana Kebby Maphatsoe,ANC,none_found,https://www.wikidata.org/wiki/Q28086077,
Ms Nosiviwe Noluthando Mapisa-Nqakula,ANC,none_found,https://www.wikidata.org/wiki/Q510746,
Mr Mohlopi Phillemon Mapulane,ANC,none_found,https://www.wikidata.org/wiki/Q47529939,
Mr Erik Johannes Marais,DA,none_found,https://www.wikidata.org/wiki/Q5388710,
Mr Sarel Jacobus Francois Marais,DA,none_found,https://www.wikidata.org/wiki/Q47529936,
Ms Thandiswa Linnen Marawu,ATM,none_found,https://www.wikidata.org/wiki/Q64399414,
Ms Bridget Staff Masango,DA,masangobridget1,http://wikidata.org/wiki/Q47530012,
Ms Nomathemba Hendrietta Maseko-Jele,ANC,none_found,https://www.wikidata.org/wiki/Q64399320,
Mrs Ngwanamakwetle Reneiloe Mashabela,EFF,none_found,https://www.wikidata.org/wiki/Q47529741,
Mr Mfana Robert Mashego,ANC,none_found,https://www.wikidata.org/wiki/Q64399329,
Ms Kwati Candith Mashego-Dlamini,ANC,none_found,https://www.wikidata.org/wiki/Q47529637,
Mr Timothy Victor Mashele,ANC,none_found,https://www.wikidata.org/wiki/Q64399378,
Ms Fikile Andiswa Masiko,,none_found,,
Mr Noko Phineas Masipa,DA,none_found,https://www.wikidata.org/wiki/Q64399474,
Ms Thabile Sylvia Masondo,ANC,none_found,https://www.wikidata.org/wiki/Q64399375,
Mr Amos Masondo,ANC,none_found,https://www.wikidata.org/wiki/Q474285,
Dr David Masondo,ANC,DrDavidMasondo,https://www.wikidata.org/wiki/Q64399471,
Mr Godfrey Phumulo Masualle,ANC,none_found,https://www.wikidata.org/wiki/Q64399417,
Mr Mkhacani Joseph Maswanganyi,ANC,none_found,https://www.wikidata.org/wiki/Q47529916,
Mr Oscar Masarona Mathafa,ANC,OscarMathafa,https://www.wikidata.org/wiki/Q64399324,
Mr Cassel Charlie Mathale,ANC,cassel_mathale,http://wikidata.org/wiki/Q5049285,
Mr Elphus Fani Mathebula,ANC,MathebulaElphus,https://www.wikidata.org/wiki/Q64399376,
Ms Brenda Thirani Mathevula,EFF,none_found,,
Mr Nthako Sam Matiase,EFF,none_found,https://www.wikidata.org/wiki/Q47529850,
Mr Tshitereke Baldwin Matibe,ANC,none_found,,
Mrs Natasha Wendy Anita Mazzone,DA,Natasha9Mazzone,https://www.wikidata.org/wiki/Q6968477,
Ms Thandeka Moloko Mbabama,DA,none_found,https://www.wikidata.org/wiki/Q47529973,
Mr Fikile April Mbalula,ANC,MbalulaFikile,https://www.wikidata.org/wiki/Q1412305,
Ms Simphiwe Gcwele Nomvula Mbatha,ANC,,https://www.wikidata.org/wiki/Q64399326,
Mr Zakhele Njabulo Mbhele,DA,zakhelembhele,https://www.wikidata.org/wiki/Q16935120,
Ms Bongiwe Pricilla Mbinqo-Gigaba,ANC,GigabaMbinqo,https://www.wikidata.org/wiki/Q61625033,
Mr Tito Titus Mboweni,ANC,tito_mboweni,https://www.wikidata.org/wiki/Q7810182,
Mr Simanga Happy Mbuyane,,,,
Mr Lawrence Edward Mc Donald,,,,
Mr Joseph Job Mc Gluwa,,,,
Mr Edward Senzo Mchunu,,,,
Ms Thembeka Vuyisile Buyisile Mchunu,,,,
Mr Sibusiso Welcome Mdabe,,,,
Ms Ntombovuyo Veronica Mente,,,,
Rev Kenneth Raselabe Joseph Meshoe,,,,
Mr Pieter Mey,,,,
Mr Simon Ezra Mfayela,,,,
Ms Teliswa Mgweba,,,,
Dr Makgabo Reginah Mhaule,,,,
Mr Tsepo Winston Mhlongo,,,,
Mr George Michalakis,,,,
Mr Kevin John Mileham,,,,
Ms Lindiwe Ntombikayise Mjobo,,,,
Ms Hlengiwe Octavia Mkhaliphi,,,,
Ms Nompendulo Thobile Mkhatshwa,,,,
Prof Hlengiwe Buhle Mkhize,,,,
Dr Zwelini Lawrence Mkhize,,,,
Ms Jabulile Cynthia Nightingale Mkhwanazi,,,,
Mr Zolani Mkiva,,,,
Ms Zola Mlenzana,,,,
Mr Kenneth Mosimanegape Mmoiemang,,,,
Ms Martha Phindile Mmola,,,,
Mr Thabo Nelson Mmutle,,,,
Mrs Raesibe Martha Moatshe,,,,
Ms Moleboheng Modise,,,,
Mr Phillip Matsapole Pogiso Modise,,,,
Ms Thandi Ruth Modise,,,,
Ms Tebogo Constance Modise,,,,
Mr Desmond Lawrence Moela,,,,
Ms Jacqueline Motlagomang Mofokeng,,,,
Mr Seiso Joel Mohai,,,,
Adv Hisamodien Mohamed,,,,
Mrs Mathibe Rebecca Mohlala,,,,
Ms Mmabatho Olive Mokause,,,,
Mrs Shirley Motshegoane Mokgotho,,,,
Mr Lehlohonolo Goodwill Mokoena,,,,
Mrs Tebogo Josephine Mokwele,,,,
Mr Lesiba Ezekiel Molala,,,,
Mr Mathedi Asnath Molekwa,,,,
Mr Moletsane Simon Moletsane,,,,
Ms Boitumelo Elizabeth Moloi,,,,
Mr Mothusi Kenneth Montwedi,,,,
Mr Patamedi Ronald Moroatshehla,,,,
Mr Itiseng Kenneth Morolong,,,,
Ms Moji Lydia Moshodi,,,,
Ms Anastasia Motaung,,,,
Ms Nomasonto Evelyn Motaung,,,,
Mr Pebane George Moteka,,,,
Mr Kenny Motsamai,,,,
Mrs Ciliesta Catherine Shoana Motsepe,,,,
Dr Mathole Serofo Motshekga,,,,
Mrs Matsie Angelina Motshekga,,,,
Dr Pakishe Aaron Motsoaledi,,,,
Mrs Tandi Gloria Mpambo-Sibhukwana,,,,
Mr Terence Skhumbuzo Mpanza,,,,
Mr Luyolo Mphithi,,,,
Mr Gordon Gcinikhaya Mpumza,,,,
Mrs Thembi Portia Msane,,,,
Prof Christian Themba Msimang,,,,
Mr Jackson Mphikwa Mthembu,ANC,JacksonMthembu,,
Ms Alice Hlebani Mthembu,,,,
Mr Dumisani Fannie Mthenjane,,,,
Mr Emmanuel Nkosinathi Mthethwa,,,,
Mr Enoch Muzi Mthethwa,,,,
Adv Thilivhali Elphus Mulaudzi,,,,
Dr Cornelius Petrus Mulder,,,,
Mr Frederik Jacobus Mulder,,,,
Mr Tshilidzi Bethuel Munyai,,,,
Ms Azwihangwisi Faith Muthambi,,,,
Ms Nonkosi Queenie Mvana,,,,
Mr Ernest Thokozani Myeni,,,,
Mr Mamagase Elleck Nchabeleng,,,,
Ms Zukiswa Veronica Ncitha,,,,
Ms Claudia Nonhlanhla Ndaba,,,,
Ms Stella Tembisa Ndabeni-Abrahams,ANC,Stellarated,https://www.wikidata.org/wiki/Q28086074,2019-07-31
Dr Mbuyiseni Quintin Ndlozi,,,,
Ms Nokuzola Ndongeni,,,,
Ms Wilma Susan Newhoudt-Druchen,,,,
Mr Sibongiseni Ngcobo,,,,
Mr Siphosethu Lindinkosi Ngcobo,,,,
Ms Winnie Ngwenya,,,,
Mrs Delisile Blessing Ngwenya,,,,
Mr Xolani Ngwezi,,,,
Mr Mlindi Nhanha,,,,
Mr Edward Joyisile Njandu,,,,
Ms Nobuhle Pamela Nkabane,,,,
Ms Maite Emily Nkoana-Mashabane,,,,
Ms Zanele Nkomo,,,,
